Year ,Type of Study,Journal,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Theory Borrowed (Yes/No),Primary (outside of IS) or Secondary (inside of IS) borrowing?,1_Classification: Exploitation/Exploration,2_Classification: Exploitation/Exploration,3_Classification: Exploitation/Exploration,4_Classification: Exploitation/Exploration,"Classification: instantiation, modifying, or extending","Magnitude: none, small, medium, large",Constructs/relationship/logic changed?,"If Not Borrowed, is Source Theory Inductive or Axiomatic?",Cannot be Classified (Notes),Comments,Why cited?,Age since 2013,Cites in first 5 years,Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,h1_intial_author_1,h1_2013_author_1,h1_intial_author_2,h1_2013_author_2,h1_intial_author_3,h1_2013_author_3,h1_intial_author_4,h1_2013_author_4,h1_intial_author_5,h1_2013_author_5,h1_initial_sum,h1_2013_sum,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
2010,Qualitative,MISQ,"Thomas, D., and Bostrom, R. 2010. –Vital signs for virtual teams: an empirically developed trigger model for technology adaptation interventions,” MIS Quarterly (34:1), pp. 115_142.",1,3,Group,"Draws on (rather than applies) adaptive structuration theory, and applies a critical incident method approach, to develop an empirically grounded framework for identifying the signs or triggers necessary for managing technology adaptations in virtual teams. ",Ensemble,Technology as structure,Adaptive structuration theory,Group,22,13,5,13,0.38,Yes,Secondary,Exploration,-,Exploration,Exploration,Extending,Large,New constructs are created based on AST,-,Almost inductive,Uses AST as a starting point to extend understanding of the relationship between strength of technology structures and team technology adaptation interventions,,3,,1,2012,,,,,,,,,,,,,,,,,,,,,1,4,5,1,2,5,5,21,21,,,,,,,26,26,2010,MIS Quarterly: Management Information Systems,34,1,,115,142,,36,,http://www.scopus.com/inward/record.url?eid=2-s2.0-77649132052&partnerID=40&md5=a911af838d3772e5c6edafe5e7cca7e3,Article,Scopus,2-s2.0-77649132052
2011,Theoretical,MISQ,"Xiao, B., and Benbasat, I. 2011. –PRODUCT-RELATED DECEPTION IN E-COMMERCE: A THEORETICAL PERSPECTIVE,” MIS Quarterly (35:1), pp. 169_195.",1,,Individual,"""With the advent of e-commerce, the potential of new Internet technologies to mislead or deceive consumers has increased considerably. This paper extends prior classifications of deception and presents a typology of product-related deceptive information practices that illustrates the various ways in which online merchants can deceive consumers via e-commerce product websites.""",Ensemble,Technology as changing social relations,Deception in eCommerce,Individual,,8,4,8,0.5,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,Creates a typology of decption behaviors,-,-,New concepts: deception behaviors created,,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,2,54,54,,,,,,,55,56,2011,MIS Quarterly: Management Information Systems,35,1,,169,195,,37,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051718904&partnerID=40&md5=cf3764210422b642ecac4c03f6607459,Review,Scopus,2-s2.0-80051718904
1998,Case Study,ISR,"Wong, P. 1998. –Leveraging the Global Information Revolution for Economic Development: Singaporeês Evolving Information Industry Strategy,” Information Systems Research (9:4), pp. 323_341.",0,,Market,"""This paper analyzed the structure and growth dynamics of Singapore's information industries us- ing an analytical framework that integrates the four key components of an information econ- omy: JCT goods industry, content industry, network infrastructure, and informatization. The paper identifies four generic stages in the development path of Singapore's information econ- omy and highlights policy implications for other small, open economies.""",Ensemble,Technology as changing social relations,Information Economy,Market,,3,4,8,0.5,Yes,Secondary,Exploration,Exploitation,Exploration,Exploration,Extending,Medium,Identifies distinct stages in information economy development,-,-,New stages and therefore new concepts identified,,15,,9,2004,,,,,,,,,,,1,,,2,2,,,,,,1,1,1,,,6,22,,,,,,,,,6,22,1998,Information Systems Research,9,4,,323,341,,20,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0032244356&partnerID=40&md5=0701351d4968878198d4acf946a7c1ab,Article,Scopus,2-s2.0-0032244356
2010,Experiment,ISR,"Zhu, L., Benbasat, I., and Jiang, Z. 2010. –Letês Shop Online Together: An Empirical Investigation of Collaborative Online Shopping Support,” Information Systems Research (21:4), pp. 872_891.",1,,Group,"""It investigates two design components that are pertinent to collaborative online shopping support tools, namely, navigation support and communication support. Results from a laboratory experiment indicate that compared to separate navigation, shared navigation effectively reduces uncoupling (i.e., the loss of coordination with oneês shopping partner) incidents per product discussed and leads to fewer communication exchanges dedicated to resolving each uncoupling incident, thereby enhancing coordination performance. Compared""",Tool,Technology as enhancer,Collaborative work/common ground theory/media richness theory,Group,,7,4,7,0.57,Yes,Secondary,Exploration,Exploitation,Exploration,Exploration,Extending,Medium,Extends previous theorizing through adding the constructs navigation and communication support,-,-,New constructs added to older theories,,3,,0,2013,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,1,54,54,7,7,,,,,62,62,2010,Information Systems Research,21,4,,872,891,,29,10.1287/isre.1080.0218,http://www.scopus.com/inward/record.url?eid=2-s2.0-78650643700&partnerID=40&md5=c5906592d4ebc25dcbc18977d676da89,Article,Scopus,2-s2.0-78650643700
2012,Econometrics,ISR,"Aggarwal, R., Gopal, R., Sankaranarayanan, R., and Singh, P. V. 2012. –Blog, Blogger, and the Firm: Can Negative Employee Posts Lead to Positive Outcomes?,” Information Systems Research (23:2), pp. 306_322.",1,-,Group/Network,Shows statistical relationships between various blog-related measures - negative comments may actually boost readership,Nominal,Technology as perception,Blogging/citaton theories,Group/Network,9,5,4,5,0.8,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Small,"Adds ""ratio of negativity"" as a new construct",-,-,Does not have a clear source theory - cites other substantive papers about blogging and citations,,1,,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,2,18,18,7,7,4,5,,,31,32,2012,Information Systems Research,23,2,,474,487,,16,10.1287/isre.1110.0357,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871287970&partnerID=40&md5=aaf6803059a0d36d59539c715806ac0a,Article,Scopus,2-s2.0-84871287970
2011,Experiment,ISR,"Animesh, A., Viswanathan, S., and Agarwal, R. 2011. –Competing •Creativelyê in Sponsored Search Markets: The Effect of Rank, Differentiation Strategy, and Competition on Performance,” Information Systems Research (22:1), pp. 153_169.",1,2,Market,"Looks at how Click-Through-Rate (ad performance) in online advertising is driven by by a seller's positioning strategy, by ranks in sponsored search-listings, and by the nature of competition",Tool,Technology as performance,Sponsored search advertising theory,Market,2,5,2,5,0.4,Yes,Primary,Exploration,Exploitation,Exploration,Exploration,Extending,Medium,Ad ranking and  click-through rates added to consumer search/strategic positioning theories,-,-,"Technology is a definitive context, but the IT artifacts themselves are not focussed on",,2,,0,2013,,,,,,,,,,,,,,,,,,,,,,1,,3,1,5,6,8,8,35,35,,,,,48,49,2011,Information Systems Research,22,1,,153,169,,18,10.1287/isre.1090.0254,http://www.scopus.com/inward/record.url?eid=2-s2.0-79955838293&partnerID=40&md5=f9058f2344fe807d33a10ed634050570,Article,Scopus,2-s2.0-79955838293
2011,Qualitative,MISQ,"Koch, H., and Schultze, U. 2011. –STUCK IN THE CONFLICTED MIDDLE: A ROLE- THEORETIC PERSPECTIVE ON B2B E-MARKETPLACES,” MIS Quarterly (35:1), pp. 123_146.",1,3,Market,"Takes a case study approach to shed light on the nature of conflict that characterizes the ""conflicted middle"".  Also explores how all-in-one e-marketplaces help to resolve the conflicts that brokers, agents, and trading partners experience.",Tool,Technology as changing social relations,"Role, conflict, and transaction cost theories","Firm, Market",5,4,3,4,0.75,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,"Theorizes multiple types of role conflict and resolution strategies, but does not deviate from the original logic of the source theory",-,-,Theorizes role conflict and resolution strategies,,2,,1,2012,,,,,,,,,,,,,,,,,,,,,,,2,2,,6,8,13,13,,,,,,,19,21,2011,MIS Quarterly: Management Information Systems,35,1,,123,146,,9,,http://www.scopus.com/inward/record.url?eid=2-s2.0-80051743916&partnerID=40&md5=a9a263d86db3666be6b783b53f92e339,Article,Scopus,2-s2.0-80051743916
2012,Content Analysis,MISQ,"Rivard, S., and Lapointe, L. 2012. –INFORMATION TECHNOLOGY IMPLEMENTERSê RESPONSES TO USER RESISTANCE: NATURE AND EFFECTS,” MIS Quarterly (36:3), pp. 897_920.",1,-,Organization,Develops a model of how implementers respond to user resistance,Nominal,Technology as Absent,Resistance to IT implementation,Organization,10,3,3,3,1,Yes,Secondary,Exploration,Exploration,Exploration,Exploration,Extending,Large,"Develops new ""response to resistance"" constructs, which fundamentally changes the logic of the underlying model",-,-,"Good example of ""large"" extension",,1,,0,2013,,,,,,,,,,,,,,,,,,,,,,,,2,1,27,27,9,9,,,,,,,36,36,2012,MIS Quarterly: Management Information Systems,36,3,,897,920,,26,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84864924306&partnerID=40&md5=9900339f0243257900087a245f8eeda9,Article,Scopus,2-s2.0-84864924306
2012,Survey,ISR,"Mani, D., Barua, a., and Whinston, a. B. 2012. –An Empirical Analysis of the Contractual and Information Structures of Business Process Outsourcing Relationships,” Information Systems Research (23:3-Part-1), pp. 618_634.",1,-,Organization/Network,"""This study integrates perspectives in neo-institutional economics and information processing to develop and test the theoretical argument that the extent of use and performance effects of the information structure of the BPO relationship are greater in time and materials BPO contracts than in fixed-price BPO contracts.""",Proxy,Technology as perception,Contract Theory,Organization/Network,12,3,2,3,0.67,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,Introduces a new information structure construct,-,-,"New construct development, but does not change the logic of the source theory",,1,,0,2013,,,,,,,,,,,,,,,,,,,,,,,,3,,3,3,18,18,40,40,,,,,61,61,2012,Information Systems Research,23,3 PART 1,,618,634,,14,10.1287/isre.1110.0374,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871503255&partnerID=40&md5=250e4bcdf4f845fe487e9d4dce0b0e59,Article,Scopus,2-s2.0-84871503255
2012,Analytical Modeling,ISR,"Kr_mer, J., and Wiewiorra, L. 2012. –Network neutrality and congestion sensitive content providers: Implications for content variety, broadband investment, and regulation,” Information Systems Research (23:4), pp. 1303_1321.",1,-,Market,"Examines ""departures from network neutrality through implementing a quality of service tiering regime in which an Internet service provider charges for prioritization on a nondiscriminatory basis""",Nominal,Technology as absent,Network neutrality,Market,10,3,2,3,0.67,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Medium,Adds a tiering regime,-,-,"Adds a new construct to the net neutrality debate (tiering regime), which has only been elaborated upon in practitioner literature (Lessig)",,1,,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,2,3,,,,,,,7,8,2012,Information Systems Research,23,4,,1303,1321,,10,10.1287/isre.1120.0420,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871589681&partnerID=40&md5=f9a40c1aceb6bc5ea1e6cbcac2308335,Article,Scopus,2-s2.0-84871589681
2012,Longitudinal panel data,MISQ,"Goes, P., Karuga, G., and Tripathi, A. 2012. –Bidding Behavior Evolution in Sequential Auctions: Characterization and Analysis.,” MIS Quarterly (36:4), pp. 1021_1042.",1,,Market,Analytical modeling of bidding in sequential auctions hosted by online retailers,Nominal,Technology as absent,Auction theory,Market,,0,0,0,,Yes,Primary,Exploration,Exploration,Exploration,Exploration,Extending,Large,Identifies specific bidder categories inductively,-,-,"New constructs are the bidder categories, which allow for completely new relationships with performance variables",,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,5,5,8,8,,,,,27,27,2012,MIS Quarterly: Management Information Systems,36,4,,1021,1042,,3,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84868005512&partnerID=40&md5=38560bf2f99833e5059baf825b0d7dbc,Article,Scopus,2-s2.0-84868005512
2005,Survey,MISQ,"Kankanhalli, A., Tan, B., and Wei, K. 2005. –Contributing Knowledge to Electronic Knowledge Repositories: An Empirical Investigation,” MIS Quarterly (29:1), pp. 113_143.",1,2,Individual,"This paper tests a model to explain how usage of electronic knowledge repositories is affected by individuals' perceptions of costs and benefits of use.  IVs: Loss of knowledge power, codification effort, organizational reward, image, reciprocity, knowledge self-efficacy, and enjoyment in helping others. DV: EKR usage by knowledge contributions.",Proxy,Technology as Perception,Social Exchange Theory,"Individual, Group, and Organization",773,249,133,310,0.43,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Applies the logic of social exchange theory to investigate usage of electronic knowledge repositories,Clear citable explanations of why people contribute to knowledge repositories,8,,2,2011,,,,,,,,,,,,,,,,,11,13,14,23,44,56,51,69,29,7,19,21,28,23,33,,,,,51,80,2005,MIS Quarterly: Management Information Systems,29,1,,113,143,,904,,http://www.scopus.com/inward/record.url?eid=2-s2.0-28744434462&partnerID=40&md5=e96a3fccb1060aa799852c79e20260ed,Article,Scopus,2-s2.0-28744434462
1995,Econometrics,ISR,"Barua, A., Kriebel, C. H., and Mukhopadhyay, T. 1995. –Information Technologies and Business Value: An Analytic and Empirical Investigation,” Information Systems Research (6:1), pp. 3_23.",1,,Organization,Proposes a process-oriented methodology for auditing IT impacts on SBU's relative to an industry index,Proxy,Technology as performance,Microeconomic theory,Organization,,106,136,268,0.51,Yes,Yes,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,"Mainly a methodological contribution, even if there is a clear empirical study with clear concepts - all borrowed",,18,,5,2008,,,,,,1,5,2,6,7,14,9,8,13,6,15,16,25,15,20,22,17,24,30,13,4,18,7,10,11,25,,,,,22,53,1995,Information Systems Research,6,1,,3,23,,563,,,,,
2005,Survey,ISR,"Wixom, B. H., & Todd, P. A. (2005). A Theoretical Integration of User Satisfaction and Technology Acceptance. Information Systems Research, 16(1), 85_102. doi:10.1287/isre.1050.0042",1,1,Individual,Creates a model that integrates TAM and user satisfaction theory,Proxy,technology as perception,"TAM, User satisfaction theory",Individual,664,260,92,260,0.35,Yes,"Secondary (in the case of TAM), primary for user satisfaction",Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,Simply combines two research streams,Very incremental contribution,,8,,2,2011,,,,,,,,,,,,,,,,,8,15,20,30,32,41,49,40,25,8,11,1,2,,,,,,,9,13,2005,Information Systems Research,16,1,,85,102,,746,10.1287/isre.1050.0042,http://www.scopus.com/inward/record.url?eid=2-s2.0-18944367029&partnerID=40&md5=0eec8e637c9826a98f50d65c555ceed7,Article,Scopus,2-s2.0-18944367029
2006,Survey,MISQ,"Pavlou, P., and Fygenson, M. 2006. –UNDERSTANDING AND PREDICTING ELECTRONIC COMMERCE ADOPTION: AN EXTENSION OF THE THEORY OF PLANNED BEHAVIOR,” MIS Quarterly (30:1), pp. 115_143.",1,,Individual,"""This paper extends Ajzenês (1991) theory of planned behavior (TPB) to explain and predict the process of e-commerce adoption by consumers. The process is captured through two online consumer behaviors: (1) getting information and (2) purchasing a product from a Web vendor.""",Proxy,Technology as Perception,Theory of Planned Behavior,Individual,,244,82,248,0.33,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,-,-,-,-,TPB in a new context,,7,,2,2011,,,,,,,,,,,,,,,,,2,11,18,25,33,38,33,26,58,14,29,4,3,,,,,,,18,32,2006,MIS Quarterly: Management Information Systems,30,1,,115,143,,639,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33749347189&partnerID=40&md5=7d37516f4235818bc12d79875809c355,Article,Scopus,2-s2.0-33749347189
2007,Survey,MISQ,"Pavlou, P., Liang, H., and Xue, Y. 2007. –Understanding and Mitigating Uncertainty in Online Exchange Relationships: A Principal- Agent Perspective,” MIS Quarterly (31:1), pp. 105_136.",1,2,Individual,"Draws on the prinicipal-agent perspective to propose four sources of uncertainty (perceived information asymmetry, fears of seller opportunism, information privacy, and security concerns) whose effects on buyers' purchase intentions are mitigated by trust, website informativeness, product diagnosticity, and social presence. ",Proxy,Technology as Perception,"Agency theory, specifically the principal-agent perspective","Individual, Group",327,182,76,182,0.42,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploitation,Instantiation,None,-,-,-,Applies the logic of principal-agent perspective to online buyer relationships,,6,,1,2012,,,,,,,,,,,,,,,,,,1,7,16,28,29,43,36,22,15,29,11,17,21,26,,,,,47,72,2007,MIS Quarterly: Management Information Systems,31,1,,105,135,,490,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33847764616&partnerID=40&md5=8bb0301d19adbffdfbdc95562c906941,Article,Scopus,2-s2.0-33847764616
